order_id,order_item_id,product_id,seller_id,price,freight_value
order_0000,1,prod_007,seller_008,413.53,53.13
order_0000,2,prod_006,seller_007,53.91,14.98
order_0001,1,prod_017,seller_002,214.52,36.42
order_0001,2,prod_018,seller_004,58.42,25.55
order_0002,1,prod_010,seller_008,670.1,7.86
order_0002,2,prod_002,seller_004,97.31,51.4
order_0003,1,prod_016,seller_009,784.07,49.11
order_0003,2,prod_011,seller_007,521.14,47.84
order_0004,1,prod_002,seller_008,421.09,52.17
order_0004,2,prod_010,seller_008,320.37,40.18
order_0005,1,prod_004,seller_002,129.02,31.28
order_0006,1,prod_008,seller_006,306.66,25.15
order_0007,1,prod_014,seller_003,315.98,42.72
order_0008,1,prod_005,seller_007,734.75,31.45
order_0009,1,prod_015,seller_003,437.64,51.67
order_0009,2,prod_009,seller_006,647.43,34.3
order_0010,1,prod_012,seller_000,593.22,16.13
order_0010,2,prod_005,seller_005,691.36,12.27
order_0011,1,prod_019,seller_006,94.17,44.91
order_0011,2,prod_011,seller_000,750.03,12.56
order_0012,1,prod_019,seller_001,483.07,48.04
order_0012,2,prod_016,seller_009,757.9,18.94
order_0013,1,prod_014,seller_005,94.14,38.89
order_0013,2,prod_003,seller_001,460.66,36.48
order_0014,1,prod_009,seller_006,615.86,48.96
order_0015,1,prod_010,seller_004,487.68,56.22
order_0015,2,prod_016,seller_001,111.34,9.82
order_0016,1,prod_013,seller_007,623.97,41.92
order_0017,1,prod_014,seller_003,720.73,46.94
order_0018,1,prod_005,seller_007,265.26,13.67
order_0018,2,prod_007,seller_009,750.18,29.08
order_0019,1,prod_014,seller_003,589.15,35.41
order_0020,1,prod_018,seller_003,393.91,25.7
order_0020,2,prod_015,seller_006,579.85,57.32
order_0021,1,prod_008,seller_001,683.42,40.04
order_0021,2,prod_002,seller_001,478.84,42.74
order_0022,1,prod_000,seller_000,663.81,21.24
order_0022,2,prod_009,seller_009,365.01,21.61
order_0023,1,prod_010,seller_009,629.41,11.08
order_0024,1,prod_019,seller_000,241.45,51.03
order_0025,1,prod_000,seller_001,799.3,41.61
order_0025,2,prod_002,seller_006,90.54,54.34
order_0026,1,prod_000,seller_002,131.56,47.72
order_0026,2,prod_004,seller_008,730.3,41.09
order_0027,1,prod_018,seller_000,24.24,7.84
order_0028,1,prod_012,seller_009,206.07,51.72
order_0028,2,prod_016,seller_002,644.75,56.03
order_0029,1,prod_002,seller_007,564.53,51.09
order_0030,1,prod_000,seller_004,117.44,32.75
order_0031,1,prod_010,seller_007,511.41,51.81
order_0032,1,prod_003,seller_008,170.57,19.89
order_0033,1,prod_001,seller_007,784.56,38.63
order_0033,2,prod_010,seller_000,500.72,7.33
order_0034,1,prod_017,seller_004,155.04,10.04
order_0035,1,prod_015,seller_001,784.42,30.22
order_0035,2,prod_010,seller_007,516.4,36.48
order_0036,1,prod_002,seller_002,255.05,36.79
order_0037,1,prod_010,seller_006,526.4,56.73
order_0037,2,prod_003,seller_001,416.52,27.22
order_0038,1,prod_009,seller_001,124.59,20.29
order_0038,2,prod_002,seller_000,353.76,38.6
order_0039,1,prod_008,seller_006,341.21,27.48
order_0040,1,prod_004,seller_009,267.29,6.98
order_0040,2,prod_011,seller_002,389.82,17.41
order_0041,1,prod_001,seller_005,461.3,43.61
order_0042,1,prod_012,seller_005,266.65,48.31
order_0042,2,prod_013,seller_003,356.51,39.43
order_0043,1,prod_010,seller_003,419.94,45.52
order_0043,2,prod_011,seller_008,738.42,32.7
order_0044,1,prod_010,seller_002,265.27,51.06
order_0044,2,prod_015,seller_003,110.37,8.96
order_0045,1,prod_017,seller_008,63.34,20.43
order_0046,1,prod_006,seller_004,264.84,45.85
order_0046,2,prod_003,seller_009,665.2,52.11
order_0047,1,prod_008,seller_003,139.82,38.05
order_0048,1,prod_002,seller_005,767.57,59.75
order_0048,2,prod_007,seller_004,262.55,42.82
order_0049,1,prod_002,seller_007,322.52,40.25
order_0049,2,prod_006,seller_000,183.06,33.88
order_0050,1,prod_003,seller_007,672.32,59.4
order_0051,1,prod_019,seller_005,674.47,59.47
order_0052,1,prod_002,seller_005,326.21,9.4
order_0052,2,prod_008,seller_008,358.35,30.81
order_0053,1,prod_018,seller_001,161.12,54.89
order_0053,2,prod_018,seller_000,201.62,21.06
order_0054,1,prod_009,seller_009,404.77,9.63
order_0055,1,prod_005,seller_002,678.0,40.07
order_0055,2,prod_011,seller_006,542.76,46.96
order_0056,1,prod_001,seller_007,440.83,23.62
order_0056,2,prod_007,seller_009,396.41,47.27
order_0057,1,prod_013,seller_008,413.74,55.03
order_0057,2,prod_006,seller_005,683.21,23.73
order_0058,1,prod_009,seller_008,101.88,26.92
order_0058,2,prod_010,seller_009,512.05,14.76
order_0059,1,prod_000,seller_003,169.45,6.37
order_0059,2,prod_012,seller_009,369.6,21.91
