order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date,order_estimated_delivery_date
order_0000,cust_0026,delivered,2024-02-13,2024-02-13 01:00:00,2024-03-02,2024-02-28
order_0001,cust_0026,delivered,2024-04-28,2024-04-28 02:00:00,2024-05-15,2024-05-13
order_0002,cust_0004,delivered,2024-02-15,2024-02-15 02:00:00,2024-03-02,2024-03-01
order_0003,cust_0011,delivered,2024-03-20,2024-03-20 01:00:00,2024-04-02,2024-04-04
order_0004,cust_0009,canceled,2024-06-07,2024-06-07 01:00:00,2024-06-15,2024-06-22
order_0005,cust_0026,delivered,2024-02-04,2024-02-04 01:00:00,2024-02-14,2024-02-19
order_0006,cust_0029,shipped,2024-06-11,2024-06-11 02:00:00,2024-06-16,2024-06-26
order_0007,cust_0029,shipped,2024-01-25,2024-01-25 02:00:00,2024-02-03,2024-02-09
order_0008,cust_0037,delivered,2024-02-12,2024-02-12 01:00:00,2024-03-01,2024-02-27
order_0009,cust_0030,delivered,2024-05-21,2024-05-21 01:00:00,2024-05-31,2024-06-05
order_0010,cust_0012,delivered,2024-07-09,2024-07-09 02:00:00,2024-07-14,2024-07-24
order_0011,cust_0004,canceled,2024-02-10,2024-02-10 01:00:00,2024-02-24,2024-02-25
order_0012,cust_0024,canceled,2024-03-12,2024-03-12 01:00:00,2024-03-31,2024-03-27
order_0013,cust_0036,delivered,2024-08-10,2024-08-10 01:00:00,2024-08-27,2024-08-25
order_0014,cust_0039,delivered,2024-08-25,2024-08-25 02:00:00,2024-09-02,2024-09-09
order_0015,cust_0009,delivered,2024-05-19,2024-05-19 02:00:00,2024-05-30,2024-06-03
order_0016,cust_0009,delivered,2024-04-17,2024-04-17 01:00:00,2024-04-29,2024-05-02
order_0017,cust_0001,shipped,2024-03-24,2024-03-24 02:00:00,2024-03-31,2024-04-08
order_0018,cust_0005,canceled,2024-05-26,2024-05-26 02:00:00,2024-06-03,2024-06-10
order_0019,cust_0022,delivered,2024-05-21,2024-05-21 01:00:00,2024-05-28,2024-06-05
order_0020,cust_0021,shipped,2024-03-11,2024-03-11 02:00:00,2024-03-30,2024-03-26
order_0021,cust_0014,delivered,2024-01-06,2024-01-06 02:00:00,2024-01-21,2024-01-21
order_0022,cust_0012,delivered,2024-02-06,2024-02-06 01:00:00,2024-02-23,2024-02-21
order_0023,cust_0033,delivered,2024-08-18,2024-08-18 01:00:00,2024-09-04,2024-09-02
order_0024,cust_0018,shipped,2024-04-10,2024-04-10 02:00:00,2024-04-29,2024-04-25
order_0025,cust_0032,canceled,2024-04-25,2024-04-25 02:00:00,2024-04-30,2024-05-10
order_0026,cust_0038,delivered,2024-04-22,2024-04-22 01:00:00,2024-05-10,2024-05-07
order_0027,cust_0012,delivered,2024-07-06,2024-07-06 02:00:00,2024-07-11,2024-07-21
order_0028,cust_0008,delivered,2024-01-16,2024-01-16 02:00:00,2024-01-27,2024-01-31
order_0029,cust_0038,delivered,2024-01-20,2024-01-20 01:00:00,2024-02-02,2024-02-04
order_0030,cust_0025,canceled,2024-03-07,2024-03-07 02:00:00,2024-03-16,2024-03-22
order_0031,cust_0011,shipped,2024-04-26,2024-04-26 01:00:00,2024-05-02,2024-05-11
order_0032,cust_0024,delivered,2024-06-10,2024-06-10 02:00:00,2024-06-17,2024-06-25
order_0033,cust_0020,canceled,2024-04-27,2024-04-27 01:00:00,2024-05-14,2024-05-12
order_0034,cust_0036,delivered,2024-04-15,2024-04-15 01:00:00,2024-04-24,2024-04-30
order_0035,cust_0010,delivered,2024-08-13,2024-08-13 02:00:00,2024-08-21,2024-08-28
order_0036,cust_0039,delivered,2024-02-08,2024-02-08 01:00:00,2024-02-26,2024-02-23
order_0037,cust_0037,delivered,2024-05-17,2024-05-17 02:00:00,2024-05-23,2024-06-01
order_0038,cust_0007,canceled,2024-05-10,2024-05-10 01:00:00,2024-05-28,2024-05-25
order_0039,cust_0006,delivered,2024-04-23,2024-04-23 02:00:00,2024-05-11,2024-05-08
order_0040,cust_0021,delivered,2024-07-12,2024-07-12 02:00:00,2024-07-25,2024-07-27
order_0041,cust_0001,delivered,2024-03-05,2024-03-05 02:00:00,2024-03-11,2024-03-20
order_0042,cust_0011,delivered,2024-08-16,2024-08-16 01:00:00,2024-08-22,2024-08-31
order_0043,cust_0017,delivered,2024-03-20,2024-03-20 01:00:00,2024-03-28,2024-04-04
order_0044,cust_0038,delivered,2024-05-10,2024-05-10 02:00:00,2024-05-23,2024-05-25
order_0045,cust_0039,shipped,2024-05-04,2024-05-04 02:00:00,2024-05-10,2024-05-19
order_0046,cust_0006,canceled,2024-07-22,2024-07-22 02:00:00,2024-08-02,2024-08-06
order_0047,cust_0035,delivered,2024-04-15,2024-04-15 01:00:00,2024-04-20,2024-04-30
order_0048,cust_0003,delivered,2024-03-09,2024-03-09 02:00:00,2024-03-21,2024-03-24
order_0049,cust_0029,delivered,2024-01-06,2024-01-06 01:00:00,2024-01-10,2024-01-21
order_0050,cust_0033,canceled,2024-03-28,2024-03-28 01:00:00,2024-04-12,2024-04-12
order_0051,cust_0035,shipped,2024-07-17,2024-07-17 02:00:00,2024-07-21,2024-08-01
order_0052,cust_0008,shipped,2024-01-03,2024-01-03 01:00:00,2024-01-10,2024-01-18
order_0053,cust_0035,delivered,2024-08-03,2024-08-03 02:00:00,2024-08-09,2024-08-18
order_0054,cust_0004,delivered,2024-05-10,2024-05-10 01:00:00,2024-05-27,2024-05-25
order_0055,cust_0020,delivered,2024-02-03,2024-02-03 01:00:00,2024-02-07,2024-02-18
order_0056,cust_0018,canceled,2024-03-13,2024-03-13 01:00:00,2024-03-23,2024-03-28
order_0057,cust_0012,shipped,2024-05-12,2024-05-12 02:00:00,2024-05-25,2024-05-27
order_0058,cust_0000,delivered,2024-03-16,2024-03-16 02:00:00,2024-03-28,2024-03-31
order_0059,cust_0030,shipped,2024-01-27,2024-01-27 02:00:00,2024-02-10,2024-02-11
