order_id,payment_sequential,payment_type,payment_installments,payment_value
order_0000,1,credit_card,6,36.36
order_0001,1,boleto,3,641.64
order_0002,1,voucher,6,884.17
order_0003,1,debit_card,6,445.43
order_0004,1,debit_card,7,815.9
order_0005,1,voucher,7,867.99
order_0006,1,voucher,8,784.12
order_0007,1,credit_card,2,667.2
order_0008,1,debit_card,4,511.2
order_0009,1,debit_card,6,873.74
order_0010,1,credit_card,9,280.76
order_0011,1,debit_card,7,682.49
order_0012,1,voucher,4,137.77
order_0013,1,boleto,1,706.29
order_0014,1,debit_card,5,887.42
order_0015,1,debit_card,5,880.79
order_0016,1,credit_card,4,720.5
order_0017,1,voucher,1,513.25
order_0018,1,voucher,8,834.49
order_0019,1,boleto,8,62.16
order_0020,1,credit_card,4,72.37
order_0021,1,boleto,1,617.52
order_0022,1,debit_card,7,703.14
order_0023,1,credit_card,8,673.31
order_0024,1,boleto,8,72.6
order_0025,1,debit_card,3,571.05
order_0026,1,credit_card,8,33.92
order_0027,1,debit_card,5,619.24
order_0028,1,voucher,1,379.18
order_0029,1,voucher,9,614.3
order_0030,1,boleto,3,771.92
order_0031,1,voucher,4,772.41
order_0032,1,debit_card,3,543.58
order_0033,1,boleto,4,269.1
order_0034,1,voucher,8,193.21
order_0035,1,voucher,1,327.48
order_0036,1,boleto,7,732.47
order_0037,1,voucher,9,287.83
order_0038,1,debit_card,4,149.03
order_0039,1,credit_card,6,897.89
order_0040,1,debit_card,7,547.84
order_0041,1,credit_card,4,826.31
order_0042,1,credit_card,5,146.9
order_0043,1,credit_card,4,88.44
order_0044,1,boleto,2,45.37
order_0045,1,boleto,5,582.05
order_0046,1,debit_card,4,395.73
order_0047,1,debit_card,9,684.21
order_0048,1,voucher,5,277.55
order_0049,1,boleto,9,234.53
order_0050,1,voucher,3,820.89
order_0051,1,boleto,5,675.82
order_0052,1,credit_card,6,598.49
order_0053,1,credit_card,3,239.99
order_0054,1,boleto,3,165.23
order_0055,1,boleto,8,276.42
order_0056,1,credit_card,6,719.02
order_0057,1,voucher,8,411.4
order_0058,1,debit_card,5,895.39
order_0059,1,voucher,7,738.74
