product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prod_000,informatica_acessorios,1681,71,19,33
prod_001,eletronicos,1441,66,44,52
prod_002,informatica_acessorios,11596,64,48,10
prod_003,eletronicos,10863,42,29,47
prod_004,beleza_saude,10481,96,45,34
prod_005,esporte_lazer,6981,17,19,45
prod_006,moveis_decoracao,10784,40,9,43
prod_007,beleza_saude,2502,20,10,31
prod_008,beleza_saude,13519,40,29,25
prod_009,esporte_lazer,7565,96,54,41
prod_010,informatica_acessorios,14076,42,12,17
prod_011,esporte_lazer,2369,91,30,39
prod_012,beleza_saude,7510,54,43,14
prod_013,beleza_saude,10475,72,16,42
prod_014,beleza_saude,7484,51,44,41
prod_015,informatica_acessorios,6747,33,21,14
prod_016,eletronicos,2576,78,49,47
prod_017,moveis_decoracao,5777,97,36,30
prod_018,eletronicos,3657,33,35,49
prod_019,moveis_decoracao,4592,80,14,12
