review_id,order_id,review_score
rev_0000,order_0000,2
rev_0001,order_0001,2
rev_0002,order_0002,3
rev_0003,order_0003,5
rev_0004,order_0004,3
rev_0005,order_0005,2
rev_0006,order_0006,4
rev_0007,order_0007,5
rev_0008,order_0008,5
rev_0009,order_0009,2
rev_0010,order_0010,4
rev_0011,order_0011,3
rev_0012,order_0012,3
rev_0013,order_0013,2
rev_0014,order_0014,1
rev_0015,order_0015,2
rev_0016,order_0016,3
rev_0017,order_0017,5
rev_0018,order_0018,5
rev_0019,order_0019,1
rev_0020,order_0020,4
rev_0021,order_0021,1
rev_0022,order_0022,4
rev_0023,order_0023,2
rev_0024,order_0024,3
rev_0025,order_0025,4
rev_0026,order_0026,3
rev_0027,order_0027,5
rev_0028,order_0028,3
rev_0029,order_0029,5
rev_0030,order_0030,4
rev_0031,order_0031,2
rev_0032,order_0032,4
rev_0033,order_0033,3
rev_0034,order_0034,3
rev_0035,order_0035,1
rev_0036,order_0036,1
rev_0037,order_0037,3
rev_0038,order_0038,1
rev_0039,order_0039,5
rev_0040,order_0040,5
rev_0041,order_0041,4
rev_0042,order_0042,4
rev_0043,order_0043,3
rev_0044,order_0044,1
rev_0045,order_0045,2
rev_0046,order_0046,3
rev_0047,order_0047,5
rev_0048,order_0048,2
rev_0049,order_0049,3
rev_0050,order_0050,2
rev_0051,order_0051,1
rev_0052,order_0052,1
rev_0053,order_0053,2
rev_0054,order_0054,1
rev_0055,order_0055,1
rev_0056,order_0056,2
rev_0057,order_0057,2
rev_0058,order_0058,3
rev_0059,order_0059,1
